full_name,title,pages_count,publisher,year,cover,raw_title
Дэвид Колберт,Волшебные миры Гарри Поттера,166,М.: РОСМЭН-пресс,2002,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1299_compressed.jpg,"Колберт, Дэвид. - Волшебные миры Гарри Поттера. - 166 с. - М.: РОСМЭН-пресс, 2002"
Стив Макконнелл,Совершенный код,896,М.: Русская редакция,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1173_compressed.jpg,"Макконнелл, Стив. - Совершенный код. - 896 с. - М.: Русская редакция, 2013"
Антон П Чехов,Толстый и тонкий; Рассказы,80,М.: Сов. Россия,1989,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1044_compressed.jpg,"Чехов, Антон П. - Толстый и тонкий; Рассказы. - 80 с. - М.: Сов. Россия, 1989"
Вера Биркенбиль,115 идей для лучшей жизни,304,М.: Фаир-пресс,2001,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1296_compressed.jpg,"Биркенбиль, Вера. - 115 идей для лучшей жизни. - 304 с. - М.: Фаир-пресс, 2001"
Герман Нагаев,Избранное: Пионеры Вселенной,607,М.: Худ. лит.,1987,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1176_compressed.jpg,"Нагаев, Герман. - Избранное: Пионеры Вселенной. - 607 с. - М.: Худ. лит., 1987"
Лев Н Толстой,"Война и мир, т.1-2",732,М.: Худ. литература,1968,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1147_compressed.jpg,"Толстой, Лев Н. - Война и мир, т.1-2. - 732 с., 716 с. - М.: Худ. литература, 1968"
Рафаэль Сабатини,Морской ястреб; Скарамуш,686,М.: Худож. лит.,1991,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1061_compressed.jpg,"Сабатини, Рафаэль. - Морской ястреб; Скарамуш. - 686 с. - М.: Худож. лит., 1991"
Сэм Кин,Исчезающая ложка,464,М.: Эксмо,2015,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1167_compressed.jpg,"Кин, Сэм. - Исчезающая ложка. - 464 с. - М.: Эксмо, 2015"
Виктор Гюго,"Человек, который смеется",768,М.: Эксмо,2013,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1297_compressed.jpg,"Гюго, Виктор. - Человек, который смеется. - 768 с. - М.: Эксмо, 2013"
Ник Перумов,Кольцо Тьмы,1344,М.: Эксмо,2003,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1066_compressed.jpg,"Перумов, Ник. - Кольцо Тьмы. - 1344 с. - М.: Эксмо, 2003"
Дин Кунц,Фантомы,480,М.: ЭКСМО-Пресс,2001,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1107_compressed.jpg,"Кунц, Дин. - Фантомы. - 480 с. - М.: ЭКСМО-Пресс, 2001"
Роберт Говард,Конан из Киммерии,928,М.: ЭКСМО-Пресс,2002,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1065_compressed.jpg,"Говард, Роберт. - Конан из Киммерии. - 928 с. - М.: ЭКСМО-Пресс, 2002"
Джон Р Толкиен,Властелин Колец,992,М.: Эксмо-пресс,2002,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1131_compressed.jpg,"Толкиен, Джон Р. - Властелин Колец. - 992 с. - М.: Эксмо-пресс, 2002"
Морис Дрюон,Железный король,320,М.: ЭКСМО; СПб.: Домино,2010,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1093_compressed.jpg,"Дрюон, Морис. - Железный король. - 320 с. - М.: ЭКСМО; СПб.: Домино, 2010"
Морис Дрюон,Узника Шато-Гийара,352,М.: Эксмо; СПб.: Домино,2010,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1188_compressed.jpg,"Дрюон, Морис. - Узника Шато-Гийара. - 352 с. - М.: Эксмо; СПб.: Домино, 2010"
Говард Ф Лавкрафт,Маска Ктулху,576,М.: Эксмо; СПб.: Домино,2011,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1081_compressed.jpg,"Лавкрафт, Говард Ф. - Маска Ктулху. - 576 с. - М.: Эксмо; СПб.: Домино, 2011"
Говард Ф Лавкрафт,Зов Ктулху,704,М.: Эксмо; СПб.: Домино,2010,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1082_compressed.jpg,"Лавкрафт, Говард Ф. - Зов Ктулху. - 704 с. - М.: Эксмо; СПб.: Домино, 2010"
Роберт Говард,Конан Бессмертный,960,М.: Эксмо; СПб.: Домино,2003,/media/andrew/00D83D2AD83D1F7A/Work/Books_files/DSCN1146_compressed.jpg,"Говард, Роберт. - Конан Бессмертный. - 960 с. - М.: Эксмо; СПб.: Домино, 2003"
